proposicao,proposicao_id,documento_id,documento_ref,tipo_documento,unidade_autora,data,id_arquivo,clausula,endpoint_listagem
PL 2363/2026,158171,335906,,Folha de Votação - Destaque,SELEG,2026-06-10,370311,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335907,,Notas Taquigráficas,SELEG,2026-06-10,370312,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335908,,Folha de Votação - Destaque,SELEG,2026-06-10,370313,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335909,,Notas Taquigráficas,SELEG,2026-06-10,370314,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335910,,Folha de Votação - Destaque,SELEG,2026-06-10,370315,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335911,,Folha de Votação,SELEG,2026-06-10,370316,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335913,,Folha de Votação,SELEG,2026-06-10,370318,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,335914,,Folha de Votação,SELEG,2026-06-10,370319,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,336004,,Redação Final,SELEG,2026-06-11,370376,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,336005,,Publicação,SELEG,2026-06-11,370377,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,336006,,Mensagem,SELEG,2026-06-11,370378,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,336012,,Parecer,SELEG,2026-06-11,370379,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,338303,,Publicação,SELEG,2026-06-24,371088,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
PL 2363/2026,158171,339790,,Mensagem - Poder Executivo,SELEG,2026-07-06,372134,,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas
