data,tipo_documento,proposicao,proposicao_id,documento_id,documento_textual_id,unidade,sessoes_registradas_na_data,palavras_no_texto,sha256_corpo,endpoint_fonte,evidencia_local,inicio_do_texto
2026-06-10,Notas Taquigráficas,PL 2363/2026,158171,335909,,SELEG,ORDINARIA nº 51,,f5679fa69e76d3758a0562faac7f351c0ba14feec0acbca1b38f62db488b868f,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2025-08-20,Redação Final,PL 1882/2025,153779,306659,318127,CCJ,SOLENE nº 53 | ORDINARIA nº 66,MASTER,e9b269450ab7fa271ada7cd5949f06acb2765e88a1e07a60750f7d190f6ba4b5,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json,CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Comissão de Constituição e Justiça PROJETO DE LEI Nº 1.882 DE 2025 REDAÇÃO FINAL Autoriza a aquisição pelo Banco de Brasília S.A. de 49% das ações ordinárias e de 100% das ações preferenciais do capital social do Banco Master S.A. A CÂMARA LEGISLATIVA DO DISTRITO FEDERAL decreta: Art. 1º Fica autorizada a aquisição pelo Banco de Brasília S.A. de 49% das ações
2025-08-21,Redação Final,PL 1882/2025,153779,306716,,SELEG,SOLENE nº 54,,01625266f681a1f108da29eefa1ac3e27044b9b859db90c2097d15dc7980f3a7,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json,
2026-03-05,Redação Final,PL 2175/2026,156411,326206,356729,CCJ,SOLENE nº 158 | SOLENE nº 159 | SOLENE nº 160,BRB,f9441e0682ad5ba45b00189235b330de8d2d4329066ab5555fb41060412a8b35,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Comissão de Constituição e Justiça PROJETO DE LEI Nº 2.175 DE 2026 Redação Final Dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de Brasília S.A. – BRB, e dá outras providências. A CÂMARA LEGISLATIVA DO DISTRITO FEDERAL d"
2026-03-06,Redação Final,PL 2175/2026,156411,326215,,SELEG,,,5752aaf54df6e75a63ad616762fa83df6842c820c9bf89ac83f99aab553d4fde,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,
2026-03-06,Redação Final,PL 2175/2026,156411,326231,,SELEG,,,3ce3e11d335aa55c48fd0d9634cae2ac341d6f498891dd91e1a998d3a0fd495c,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/156411/documento/ativas,data/raw/documento-ativas/28308ee15c2f8091.json,
2026-06-10,Redação Final,PL 2363/2026,158171,335918,375579,CCJ,ORDINARIA nº 51,BRB,e5ffb718d817c61337ca9fed3143a33f21d12d29a780e8c1b9f690c3ef67ee3e,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,"CÂMARA LEGISLATIVA DO DISTRITO FEDERAL Comissão de Constituição e Justiça PROJETO DE LEI nº 2.363 DE 2026 REDAÇÃO FINAL Altera a Lei nº 7.845, de 10 de março de 2026, que “dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de Brasília S.A. – BRB, e dá outras prov"
2026-06-11,Redação Final,PL 2363/2026,158171,336004,,SELEG,ORDINARIA nº 52 | SOLENE nº 215 | SOLENE nº 215,,56d5cb01987a11e9ef47cf6456b704627a051f38d25d4442c6af230e746657a6,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/158171/documento/ativas,data/raw/documento-ativas/be992403f31856a5.json,
2025-08-21,Publicação,PL 1882/2025,153779,306718,,SELEG,SOLENE nº 54,,70812615e531cc35b895ddb911d0497358d5f77c8ff20aad9bae36fc15be7828,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json,
2025-08-21,Publicação,PL 1882/2025,153779,306742,,SELEG,SOLENE nº 54,,264dc407d88a47476001fef45505800cb19ed88507acfaeef72f024dc7c52c26,https://ple.cl.df.gov.br/pleservico/api/public/proposicao/153779/documento/ativas,data/raw/documento-ativas/a91cdb16a2fb033b.json,
