proposicao,autoria,ementa,data_leitura,dias_ate_22_09_2026,documentos_no_processo,documentos_de_resposta,respostas_legiveis,remetido_ao_sei,encerrado,etapa,id_proposicao
REQ 2446/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155099
REQ 2447/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,nao,sim,Apresentação,155100
REQ 2448/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,4,0,0,sim,sim,Apresentação,155101
REQ 2449/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155102
REQ 2450/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155109
REQ 2451/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155113
REQ 2452/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155115
REQ 2453/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155116
REQ 2454/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155117
REQ 2455/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155119
REQ 2456/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,sim,sim,Apresentação,155120
REQ 2457/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155121
REQ 2458/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155123
REQ 2459/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,sim,sim,Apresentação,155124
REQ 2460/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,sim,sim,Apresentação,155125
REQ 2461/2025,Deputado Fábio Felix,"Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.
",2025-11-10,316,3,0,0,sim,sim,Apresentação,155126
REQ 2462/2025,Deputado Fábio Felix,"Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.
",2025-11-10,316,3,0,0,sim,sim,Apresentação,155128
REQ 2463/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,sim,sim,Apresentação,155129
REQ 2464/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.,2025-11-10,316,3,0,0,sim,sim,Apresentação,155130
REQ 2465/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155131
REQ 2466/2025,Deputado Fábio Felix,"Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.
",2025-11-10,316,3,0,0,sim,sim,Apresentação,155134
REQ 2467/2025,Deputado Fábio Felix,"Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado.
",2025-11-10,316,3,0,0,sim,sim,Apresentação,155135
REQ 2468/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155136
REQ 2469/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155137
REQ 2470/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155138
REQ 2471/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155139
REQ 2472/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155140
REQ 2473/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155141
REQ 2474/2025,Deputado Fábio Felix,Requer informações a respeito do andamento das obras públicas contratadas pelo órgão especificado,2025-11-10,316,3,0,0,sim,sim,Apresentação,155142
